scorer,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000
bodyparts,snout,snout,snout,right-forepaw,right-forepaw,right-forepaw,left-forepaw,left-forepaw,left-forepaw,right-hindpaw,right-hindpaw,right-hindpaw,left-hindpaw,left-hindpaw,left-hindpaw,tail-base,tail-base,tail-base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,503.4442443847656,179.51226806640625,1.0,480.7647399902344,162.59901428222656,0.9999992847442627,472.1673278808594,180.346435546875,0.9999998807907104,445.1136779785156,150.89691162109375,0.9999997615814209,429.3238830566406,193.55494689941406,0.9999996423721313,403.5794982910156,165.1675262451172,1.0
1,505.4747009277344,180.63894653320312,0.9999997615814209,480.9410705566406,161.9600067138672,0.9999991655349731,472.3907470703125,180.7703857421875,0.9999997615814209,444.3987731933594,150.8048858642578,0.9999997615814209,429.06134033203125,193.70631408691406,0.9999997615814209,402.7220458984375,164.83978271484375,1.0
2,507.9220886230469,181.2375946044922,1.0,482.4814453125,162.22000122070312,0.9999996423721313,473.43115234375,180.8473663330078,0.9999992847442627,444.1636962890625,151.2084503173828,0.9999996423721313,429.4586486816406,193.79945373535156,0.9999997615814209,403.2065734863281,164.65753173828125,1.0
3,509.55194091796875,183.43060302734375,0.9999998807907104,483.5482177734375,162.48605346679688,0.9999995231628418,474.4086608886719,180.6407928466797,0.9999991655349731,443.7523193359375,151.13902282714844,0.9999996423721313,429.3787536621094,193.92074584960938,0.9999997615814209,403.5799560546875,164.40728759765625,1.0
4,508.9157409667969,185.1886749267578,0.9999995231628418,483.2435302734375,162.13168334960938,0.9999995231628418,473.6310119628906,181.056884765625,0.9999991655349731,444.12158203125,151.1140594482422,0.9999996423721313,428.3060302734375,194.13442993164062,0.9999997615814209,403.55975341796875,164.11764526367188,1.0
5,509.2390441894531,185.388427734375,0.9999992847442627,483.9869689941406,163.06021118164062,0.9999997615814209,473.3497314453125,181.38507080078125,0.9999991655349731,444.15777587890625,150.94503784179688,0.9999996423721313,428.2795104980469,194.14886474609375,0.9999998807907104,403.7800598144531,164.1987762451172,1.0
6,509.79986572265625,184.87722778320312,0.9999996423721313,483.5187072753906,162.7766876220703,0.9999996423721313,473.28778076171875,181.5571746826172,0.9999994039535522,443.9751281738281,151.0279541015625,0.9999997615814209,428.3868408203125,194.24574279785156,0.9999998807907104,404.0262145996094,164.15969848632812,1.0
7,509.4447937011719,183.3728790283203,0.9999998807907104,482.5646667480469,162.20608520507812,0.9999994039535522,472.9588317871094,181.44158935546875,0.9999994039535522,444.1384582519531,151.0291748046875,0.9999997615814209,429.78143310546875,195.1024169921875,0.9999998807907104,403.1233215332031,164.59657287597656,1.0
