scorer,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000,DLC_resnet50_bottomup_clearSep21shuffle1_1030000
bodyparts,snout,snout,snout,right-forepaw,right-forepaw,right-forepaw,left-forepaw,left-forepaw,left-forepaw,right-hindpaw,right-hindpaw,right-hindpaw,left-hindpaw,left-hindpaw,left-hindpaw,tail-base,tail-base,tail-base
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,606.8743286132812,227.3317108154297,0.9999822378158569,628.9389038085938,217.9151153564453,0.9990113973617554,612.0057983398438,187.18356323242188,0.9999983310699463,685.7769165039062,199.1756134033203,0.9999798536300659,644.0662231445312,160.71043395996094,1.0,682.2286987304688,165.80747985839844,0.9999988079071045
1,606.1300659179688,226.1732940673828,0.9999938011169434,629.0282592773438,218.0021209716797,0.9992986917495728,613.6121826171875,187.19915771484375,0.9999982118606567,686.299072265625,200.76268005371094,0.9998021721839905,646.0401000976562,160.64178466796875,0.9999998807907104,680.9953002929688,167.5422821044922,0.999964714050293
2,607.3261108398438,230.76202392578125,0.9478877186775208,639.5497436523438,212.8641357421875,0.9994837045669556,614.1251831054688,187.06077575683594,0.9999983310699463,685.8486328125,202.91590881347656,0.9999834299087524,646.3167114257812,160.3361053466797,0.9999998807907104,681.50732421875,167.28639221191406,0.9999978542327881
3,609.0018310546875,232.97067260742188,0.9340046644210815,636.5609130859375,211.61851501464844,0.9959813356399536,615.0820922851562,186.7281494140625,0.9999970197677612,685.2718505859375,202.91346740722656,0.9999847412109375,646.4867553710938,160.58050537109375,0.9999998807907104,680.490234375,168.0015106201172,0.9999972581863403
4,612.2406005859375,233.3756866455078,0.11868507415056229,635.1073608398438,211.85411071777344,0.9663429856300354,615.6396484375,187.94837951660156,0.9999929666519165,685.11376953125,202.43577575683594,0.9999831914901733,646.1936645507812,160.30377197265625,0.9999998807907104,680.3021850585938,168.6559600830078,0.9999979734420776
5,607.6856689453125,239.78347778320312,0.02072521299123764,627.59130859375,206.18368530273438,0.9585344195365906,615.6699829101562,189.40980529785156,0.9999945163726807,684.5654907226562,202.52267456054688,0.9999908208847046,646.4846801757812,160.42181396484375,0.9999998807907104,679.1915893554688,169.1902618408203,0.9999990463256836
6,607.4691772460938,240.82330322265625,0.002587783383205533,615.078369140625,193.94686889648438,0.9082648754119873,616.4755859375,190.23876953125,0.9999183416366577,684.4439086914062,202.65182495117188,0.999995231628418,646.4663696289062,160.64964294433594,0.9999998807907104,679.1307983398438,169.42262268066406,0.9999994039535522
7,611.3155517578125,238.7911834716797,0.9086120128631592,631.8289794921875,211.56912231445312,0.9895994663238525,614.3650512695312,190.59201049804688,0.9999985694885254,684.0963134765625,200.60763549804688,0.9999978542327881,646.6724243164062,160.54429626464844,0.9999998807907104,678.2817993164062,170.9043426513672,0.9999998807907104
